"id";"atcocode";"common_name";"locality_name";"locality_qualifier";"created_at";"updated_at";"name";"lattitude";"longitude";"transport_type";"osm_id";"sms_code";"indicator";"bearing";"locality";"parent_locality";"status"
150959;"9300NHY";"North Hoy Orkney Ferry Terminal";"Moaness";"Hoy";"2016-02-09 15:27:54";"2016-02-09 15:27:54";"North Hoy Orkney Ferry Terminal";5891622;-331183;"FER";;"";"";"";"Moaness";"Hoy";"act"
150976;"9300NRO";"North Ronaldsay Orkney Ferry Terminal";"North Ronaldsay";"";"2016-02-09 15:27:54";"2016-02-09 15:27:54";"North Ronaldsay Orkney Ferry Terminal";5935558;-244094;"FER";;"";"";"";"North Ronaldsay";"";"act"
136556;"9300OBA";"Oban Ferry Terminal";"Oban";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Oban Ferry Terminal";5641160;-547726;"FER";;"";"";"";"Oban";"";"act"
158617;"9300ODD";"Oddsta Shetland Ferry Terminal";"Fetlar";"";"2016-02-09 15:27:55";"2016-02-09 15:27:55";"Oddsta Shetland Ferry Terminal";6062942;-93099;"FER";;"";"";"";"Fetlar";"";"act"
125140;"9300OKF";"Oban Kerrera Ferry";"Oban";"";"2016-02-09 15:27:17";"2016-02-09 15:27:17";"Oban Kerrera Ferry";5639706;-551026;"FER";;"";"";"";"Oban";"";"act"
138223;"9300ONP";"Oban North Pier Ferry Terminal";"Oban";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Oban North Pier Ferry Terminal";5641475;-547362;"FER";;"";"";"";"Oban";"";"act"
158619;"9300OUT";"Out Skerries Shetland Ferry Terminal";"Out Skerries";"";"2016-02-09 15:27:55";"2016-02-09 15:27:55";"Out Skerries Shetland Ferry Terminal";6042265;-75121;"FER";;"";"";"";"Out Skerries";"";"act"
125139;"9300PAK";"Port Askaig Islay Ferry Terminal";"Port Askaig";"";"2016-02-09 15:27:17";"2016-02-09 15:27:17";"Port Askaig Islay Ferry Terminal";5584771;-610510;"FER";;"";"";"";"Port Askaig";"";"act"
125143;"9300PAP";"Port Appin Ferry Terminal";"Port Appin";"";"2016-02-09 15:27:17";"2016-02-09 15:27:17";"Port Appin Ferry Terminal";5655327;-541488;"FER";;"";"";"";"Port Appin";"";"act"
136543;"9300PAV";"Portavadie Ferry Terminal";"Portavadie";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Portavadie Ferry Terminal";5587650;-531655;"FER";;"";"";"";"Portavadie";"";"act"
119194;"9300PHD";"Liverpool Pier Head Ferry Terminal";"Liverpool";"";"2016-02-09 15:27:16";"2016-02-09 15:27:16";"Liverpool Pier Head Ferry Terminal";5340522;-299648;"FER";;"";"";"";"Liverpool";"";"act"
136554;"9300PLN";"Port Ellen Islay Ferry Terminal";"Port Ellen";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Port Ellen Islay Ferry Terminal";5562782;-618982;"FER";;"";"";"";"Port Ellen";"";"act"
213994;"9300PMH";"Portsmouth Harbour Station Pier";"Portsea";"Portsmouth";"2016-02-09 15:28:06";"2016-02-09 15:28:06";"Portsmouth Harbour Station Pier";5079694;-110920;"FER";;"";"";"";"Portsea";"Portsmouth";"act"
125142;"9300PRA";"Port Ramsay Lismore Ferry Terminal";"Lismore Point";"";"2016-02-09 15:27:17";"2016-02-09 15:27:17";"Port Ramsay Lismore Ferry Terminal";5655973;-542817;"FER";;"";"";"";"Lismore Point";"";"act"
138226;"9300PRE";"Portree Ferry Terminal";"Portree";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Portree Ferry Terminal";5741086;-619003;"FER";;"";"";"";"Portree";"";"act"
158624;"9300PST";"Papa Stour Shetland Ferry Terminal";"Papa Stour";"";"2016-02-09 15:27:55";"2016-02-09 15:27:55";"Papa Stour Shetland Ferry Terminal";6033128;-167270;"FER";;"";"";"";"Papa Stour";"";"act"
136572;"9300PTM";"Muck Ferry Terminal";"Port Mor";"Muck";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Muck Ferry Terminal";5683364;-622690;"FER";;"";"";"";"Port Mor";"Muck";"act"
150975;"9300PWY";"Papa Westray Orkney Ferry Terminal";"Papa Westray";"";"2016-02-09 15:27:54";"2016-02-09 15:27:54";"Papa Westray Orkney Ferry Terminal";5932685;-289155;"FER";;"";"";"";"Papa Westray";"";"act"
136567;"9300RAA";"Raasay Ferry Terminal";"Raasay";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Raasay Ferry Terminal";5735103;-608245;"FER";;"";"";"";"Raasay";"";"act"
150973;"9300RAP";"Rapness Orkney Ferry Terminal";"Rapness";"Westray";"2016-02-09 15:27:54";"2016-02-09 15:27:54";"Rapness Orkney Ferry Terminal";5924870;-285844;"FER";;"";"";"";"Rapness";"Westray";"act"
136545;"9300RAY";"Rothesay Ferry Terminal";"Rothesay";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Rothesay Ferry Terminal";5583849;-505423;"FER";;"";"";"";"Rothesay";"";"act"
136540;"9300RFW";"Renfrew Ferry Terminal";"Blythswood";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Renfrew Ferry Terminal";5588559;-438314;"FER";;"";"";"";"Blythswood";"";"act"
138847;"9300RHU";"Rhubodach Bute Ferry Terminal";"Rhubodach";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Rhubodach Bute Ferry Terminal";5592069;-515890;"FER";;"";"";"";"Rhubodach";"";"act"
150964;"9300ROU";"Rousay Orkney Ferry Terminal";"Rousay";"";"2016-02-09 15:27:54";"2016-02-09 15:27:54";"Rousay Orkney Ferry Terminal";5913034;-298619;"FER";;"";"";"";"Rousay";"";"act"
213993;"9300RYD";"Ryde Pier Head Ferry Terminal";"Ryde";"Isle of Wight";"2016-02-09 15:28:06";"2016-02-09 15:28:06";"Ryde Pier Head Ferry Terminal";5073939;-116059;"FER";;"";"";"";"Ryde";"";"act"
147639;"9300SCG";"Scoraig Ferry Landing";"Scoraig";"";"2016-02-09 15:27:53";"2016-02-09 15:27:53";"Scoraig Ferry Landing";5790998;-537763;"FER";;"";"";"";"Scoraig";"";"act"
136568;"9300SCO";"Sconser Isle Of Skye Ferry Terminal";"Sconser";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Sconser Isle Of Skye Ferry Terminal";5731397;-611033;"FER";;"";"";"";"Sconser";"";"act"
144765;"9300SCR";"Scrabster Ferry Terminal";"Scrabster";"Thurso";"2016-02-09 15:27:52";"2016-02-09 15:27:52";"Scrabster Ferry Terminal";5861136;-354416;"FER";;"";"";"";"Scrabster";"Thurso";"act"
119193;"9300SEA";"Seacombe Ferry Terminal";"Seacombe";"Wallasey";"2016-02-09 15:27:16";"2016-02-09 15:27:16";"Seacombe Ferry Terminal";5340977;-301630;"FER";;"";"";"";"Seacombe";"Wallasey";"act"
147621;"9300SMH";"St Margarets Hope Ferry Terminal";"St Margarets Hope";"South Ronaldsay";"2016-02-09 15:27:53";"2016-02-09 15:27:53";"St Margarets Hope Ferry Terminal";5883224;-296172;"FER";;"";"";"";"St Margarets Hope";"South Ronaldsay";"act"
144766;"9300SNS";"Stromness Orkney Ferry Terminal";"Stromness";"";"2016-02-09 15:27:52";"2016-02-09 15:27:52";"Stromness Orkney Ferry Terminal";5896466;-329532;"FER";;"";"";"";"Stromness";"";"act"
213990;"9300SOP";"Southampton Passenger Ferry Terminal";"Eastern Docks";"Southampton";"2016-02-09 15:28:06";"2016-02-09 15:28:06";"Southampton Passenger Ferry Terminal";5089439;-140531;"FER";;"";"2";"";"Eastern Docks";"Southampton";"act"
213974;"9300SOS";"Southsea Hoverport _1";"Southsea (Hants)";"Portsmouth";"2016-02-09 15:28:06";"2016-02-09 15:28:06";"Southsea Hoverport _1";5078516;-109995;"FER";;"";"";"";"Southsea";"Portsmouth";"act"
150969;"9300SPY";"Shapinsay Orkney Ferry Terminal";"Balfour";"Shapinsay";"2016-02-09 15:27:54";"2016-02-09 15:27:54";"Shapinsay Orkney Ferry Terminal";5903132;-290957;"FER";;"";"";"";"Balfour";"Shapinsay";"act"
136664;"9300STL";"Stronachlachar Pier";"Stronachlachar";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Stronachlachar Pier";5625786;-457686;"FER";;"";"";"";"Stronachlachar";"";"act"
136585;"9300STO";"Stornoway Lewis Ferry Terminal";"Stornoway";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Stornoway Lewis Ferry Terminal";5820616;-638720;"FER";;"";"";"";"Stornoway";"";"act"
150971;"9300STY";"Stronsay Orkney Ferry Terminal";"Whitehall";"Stronsay";"2016-02-09 15:27:54";"2016-02-09 15:27:54";"Stronsay Orkney Ferry Terminal";5914262;-259789;"FER";;"";"";"";"Whitehall";"Stronsay";"act"
158627;"9300SUM";"Grutness Shetland Ferry Terminal";"Grutness";"Sumburgh";"2016-02-09 15:27:55";"2016-02-09 15:27:55";"Grutness Shetland Ferry Terminal";5987438;-127850;"FER";;"";"";"";"Grutness";"Sumburgh";"act"
158618;"9300SYM";"Whalsay Shetland Ferry Terminal";"Symbister";"Whalsay";"2016-02-09 15:27:55";"2016-02-09 15:27:55";"Whalsay Shetland Ferry Terminal";6034186;-102846;"FER";;"";"";"";"Symbister";"Whalsay";"act"
136579;"9300TAB";"Tarbert (Harris) Ferry Terminal";"Tarbert";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Tarbert (Harris) Ferry Terminal";5789685;-679867;"FER";;"";"";"";"Tarbert";"";"act"
138221;"9300TIG";"Tighnabruaich Pier Ferry Terminal";"Tighnabruaich";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Tighnabruaich Pier Ferry Terminal";5591053;-522416;"FER";;"";"";"";"Tighnabruaich";"";"act"
147663;"9300TLN";"Tarbet (Loch Nevis) Ferry Landing";"Tarbet";"";"2016-02-09 15:27:53";"2016-02-09 15:27:53";"Tarbet (Loch Nevis) Ferry Landing";5697087;-563631;"FER";;"";"";"";"Tarbet";"";"act"
136563;"9300TOB";"Tobermory Mull Ferry Terminal";"Tobermory";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Tobermory Mull Ferry Terminal";5662332;-606336;"FER";;"";"";"";"Tobermory";"";"act"
158614;"9300TOF";"Toft Shetland Ferry Terminal";"Toft";"";"2016-02-09 15:27:55";"2016-02-09 15:27:55";"Toft Shetland Ferry Terminal";6046690;-120693;"FER";;"";"";"";"Toft";"";"act"
136566;"9300TRE";"Tiree Ferry Terminal";"Tiree";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Tiree Ferry Terminal";5650832;-679892;"FER";;"";"";"";"Tiree";"";"act"
136665;"9300TRO";"Trossachs Pier";"Trossachs";"Callander";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Trossachs Pier";5623390;-442920;"FER";;"";"";"";"Trossachs";"Callander";"act"
67216;"9300TVR";"Back Common ferry point";"Torver";"";"2016-02-09 15:27:06";"2016-02-09 15:27:06";"Back Common ferry point";5434688;-307567;"FER";;"";"";"";"Torver";"";"act"
150967;"9300TWL";"Tingwall Orkney Ferry Terminal";"Tingwall";"Rendall";"2016-02-09 15:27:54";"2016-02-09 15:27:54";"Tingwall Orkney Ferry Terminal";5908867;-304345;"FER";;"";"";"";"Tingwall";"Rendall";"act"
136552;"9300TYL";"Tayinloan Ferry Terminal";"Tayinloan";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Tayinloan Ferry Terminal";5565756;-566911;"FER";;"";"";"";"Tayinloan";"";"act"
136580;"9300UIG";"Uig Skye Ferry Terminal";"Uig";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Uig Skye Ferry Terminal";5758634;-637645;"FER";;"";"";"";"Uig";"";"act"
136584;"9300ULL";"Ullapool Ferry Terminal";"Ullapool";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Ullapool Ferry Terminal";5789494;-516044;"FER";;"";"";"";"Ullapool";"";"act"
158613;"9300ULS";"Ulsta Shetland Ferry Terminal";"Ulsta";"Yell";"2016-02-09 15:27:55";"2016-02-09 15:27:55";"Ulsta Shetland Ferry Terminal";6049612;-115860;"FER";;"";"";"";"Ulsta";"Yell";"act"
158620;"9300VID";"Vidlin Shetland Ferry Terminal";"Vidlin";"";"2016-02-09 15:27:55";"2016-02-09 15:27:55";"Vidlin Shetland Ferry Terminal";6037279;-112937;"FER";;"";"";"";"Vidlin";"";"act"
67215;"9300WAT";"Waterhead Pier";"Waterhead";"Coniston";"2016-02-09 15:27:06";"2016-02-09 15:27:06";"Waterhead Pier";5436734;-306129;"FER";;"";"";"";"Waterhead";"Coniston";"act"
158625;"9300WBU";"West Burrafirth Shetland Ferry Terminal";"West Burrafirth";"";"2016-02-09 15:27:55";"2016-02-09 15:27:55";"West Burrafirth Shetland Ferry Terminal";6029553;-153990;"FER";;"";"";"";"West Burrafirth";"";"act"
158629;"9300WLS";"Walls Shetland Ferry Terminal";"Walls";"";"2016-02-09 15:27:55";"2016-02-09 15:27:55";"Walls Shetland Ferry Terminal";6022378;-156841;"FER";;"";"";"";"Walls";"";"act"
119195;"9300WOO";"Woodside Birkenhead Ferry Terminal";"Woodside";"Birkenhead";"2016-02-09 15:27:16";"2016-02-09 15:27:16";"Woodside Birkenhead Ferry Terminal";5339490;-300997;"FER";;"";"";"";"Woodside";"Birkenhead";"act"
150966;"9300WYR";"Wyre Orkney Ferry Terminal";"Wyre";"";"2016-02-09 15:27:54";"2016-02-09 15:27:54";"Wyre Orkney Ferry Terminal";5912483;-297249;"FER";;"";"";"";"Wyre";"";"act"
136539;"9300YOK";"Yoker Ferry Terminal";"Yoker";"Glasgow";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Yoker Ferry Terminal";5588710;-438120;"FER";;"";"";"";"Yoker";"Glasgow";"act"
