"id";"tiploc_code";"nalco";"tps_description";"stanox";"crs_code";"description";"geo_lat";"geo_lon";"is_public";"nalco_four";"atcocode";"is_station";"created_at";"updated_at";"latlon";"googlesrs"
14768;"BEREALS";"354900";"BERE ALSTON";"84207";"BAS";"";50.4855919058843;-4.20035436739475;;"3549";"9100BEREALS";t;"2015-03-16 10:43:27.810767";"2015-03-16 10:43:27.810767";"0101000020E6100000EE48FEB129CD10C0D97C25E0273E4940";"010100002031BF0D00CFEBC03CF5891CC12459E219BCE95841"
14769;"BEREFRS";"355000";"BERE FERRERS";"84205";"BFE";"";50.4512752121063;-4.18143412051544;;"3550";"9100BEREFRS";t;"2015-03-16 10:43:27.811823";"2015-03-16 10:43:27.811823";"0101000020E610000027F8B7DDC9B910C0FBBEDA62C3394940";"010100002031BF0D00952FE4770C691CC14D0784ABDFE35841"
11932;"BERKHMD";"139000";"BERKHAMSTED";"70421";"BKM";"";51.7631321738279;-0.562012920772919;;"1390";"9100BERKHMD";t;"2015-03-16 10:43:25.942399";"2015-03-16 10:43:25.942399";"0101000020E6100000A4C5548502FCE1BFE08EA850AEE14940";"010100002031BF0D00C3A9C5BF5F8CEEC0301E726008C75941"
20267;"BERRYB";"843100";"BERRY BROW";"18488";"BBW";"";53.621039106379;-1.79343204783628;;"8431";"9100BERRYB";t;"2015-03-16 10:43:33.333982";"2015-03-16 10:43:33.333982";"0101000020E6100000D0E190CDE5B1FCBFAAB79D357ECF4A40";"010100002031BF0D008F3AE889DF5E08C14097647555145B41"
16576;"BERWICK";"532300";"BERWICK";"88246";"BRK";"";50.8403765701629;0.166017650876994;;"5323";"9100BERWICK";t;"2015-03-16 10:43:29.347634";"2015-03-16 10:43:29.347634";"0101000020E6100000DAA789FE1040C53F50969E75916B4940";"010100002031BF0D00FCE9DE05400CD2405573F9A694265941"
13261;"BESCRLA";"235100";"BESCAR LANE";"35018";"BES";"";53.6238506749972;-2.91461045863391;;"2351";"9100BESCRLA";t;"2015-03-16 10:43:26.717862";"2015-03-16 10:43:26.717862";"0101000020E6100000324CC3491F5107C0AA59C356DACF4A40";"010100002031BF0D00D476F7CE93CD13C10B075F62D9145B41"
12168;"BESJOHN";"151000";"BEDFORD ST JOHNS";"62035";"BSJ";"";52.1294764860864;-0.467500971940967;;"1510";"9100BESJOHN";t;"2015-03-16 10:43:26.073482";"2015-03-16 10:43:26.073482";"0101000020E61000002F6B553289EBDDBFCAAB7CAF92104A40";"010100002031BF0D00CFDF660B3F69E9C04369FD99A4075A41"
12352;"BESTON";"162500";"BEESTON";"55212";"BEE";"";52.9207531806161;-1.20765788352413;;"1625";"9100BESTON";t;"2015-03-16 10:43:26.176492";"2015-03-16 10:43:26.176492";"0101000020E61000002AE2A7129152F3BF92377F3DDB754A40";"010100002031BF0D00C2929AE21E6900C160A5723508955A41"
13377;"BETSYCD";"244900";"BETWS-Y-COED";"40061";"BYC";"";53.0920648348744;-3.80086123254458;;"2449";"9100BETSYCD";t;"2015-03-16 10:43:26.790122";"2015-03-16 10:43:26.790122";"0101000020E6100000474E13EF29680EC0D772CFC7C88B4A40";"010100002031BF0D00776878BF17D319C1A5F33467FBB35A41"
19998;"BEVERLY";"804800";"BEVERLEY";"19023";"BEV";"";53.8422719252684;-0.422980068375482;;"8048";"9100BEVERLY";t;"2015-03-16 10:43:33.017952";"2015-03-16 10:43:33.017952";"0101000020E61000001F1522FE1A12DBBFF1AE0291CFEB4A40";"010100002031BF0D00567F60A0BDFDE6C0CBDF6539FD3C5B41"
16344;"BEXHILL";"521100";"BEXHILL";"88275";"BEX";"";50.8410406983871;0.477016646475771;;"5211";"9100BEXHILL";t;"2015-03-16 10:43:29.14223";"2015-03-16 10:43:29.14223";"0101000020E6100000B8B410D47087DE3FBB16BB38A76B4940";"010100002031BF0D00B83A8501A8EDE94027F0C7EBB1265941"
16025;"BEXLEY";"509300";"BEXLEY";"88463";"BXY";"";51.4402177801763;0.14790253791802;;"5093";"9100BEXLEY";t;"2015-03-16 10:43:28.870814";"2015-03-16 10:43:28.870814";"0101000020E6100000CC38AD6978EEC23FCA7C640E59B84940";"010100002031BF0D003DEF72DA1B14D040E90260EC838E5941"
15282;"BGLAN";"418600";"BAGLAN";"79607";"BAJ";"";51.6155390662969;-3.81113565509677;;"4186";"9100BGLAN";t;"2015-03-16 10:43:28.232369";"2015-03-16 10:43:28.232369";"0101000020E6100000D014BAB0347D0EC0E993EFFBC9CE4940";"010100002031BF0D007FFCCCB8F6E419C12F879C9226AD5941"
21888;"BGOALAN";"988900";"BRIDGE OF ALLAN";"3165";"BEA";"";56.1566336860466;-3.95722839310467;;"9889";"9100BGOALAN";t;"2015-03-16 10:43:35.336032";"2015-03-16 10:43:35.336032";"0101000020E61000005D7F195C67A80FC0D38297920C144C40";"010100002031BF0D0069E7439912E31AC14DE31219C7F35C41"
11511;"BGRN";"109600";"BARNT GREEN";"66525";"BTG";"";52.3610866130087;-1.99246646237994;;"1096";"9100BGRN";t;"2015-03-16 10:43:25.720396";"2015-03-16 10:43:25.720396";"0101000020E61000004CC7648324E1FFBFA9F20C16382E4A40";"010100002031BF0D000624EDD042130BC1CCD4B4EEC3305A41"
11652;"BHAMINT";"121500";"BIRMINGHAM INTERNATIONAL";"69215";"BHI";"";52.4508053211298;-1.72585664171722;;"1215";"9100BHAMINT";t;"2015-03-16 10:43:25.7927";"2015-03-16 10:43:25.7927";"0101000020E610000058289CDA1B9DFBBFC18E1FFDB3394A40";"010100002031BF0D005AF63CDCCB7307C17B52B8B9C0405A41"
11513;"BHAMJEW";"109700";"JEWELLERY QUARTER";"65210";"JEQ";"";52.4894329964363;-1.91321271476284;;"1097";"9100BHAMJEW";t;"2015-03-16 10:43:25.721446";"2015-03-16 10:43:25.721446";"0101000020E6100000152A83EF849CFEBF7BA38CBDA53E4A40";"010100002031BF0D00CBF5E6EB8EFF09C161109869A5475A41"
15506;"BHAMMRS";"451500";"BIRMINGHAM MOOR STREET";"66411";"BMO";"";52.4790775643978;-1.89247247710557;;"4515";"9100BHAMMRS";t;"2015-03-16 10:43:28.414622";"2015-03-16 10:43:28.414622";"0101000020E6100000FDF95B389147FEBFFEAAE369523D4A40";"010100002031BF0D005F84769468B709C175FB702DCC455A41"
