"id";"atcocode";"common_name";"locality_name";"locality_qualifier";"created_at";"updated_at";"name";"lattitude";"longitude";"transport_type";"osm_id";"sms_code";"indicator";"bearing";"locality";"parent_locality";"status"
111444;"9400ZZBPWST1";"West Drive (Blackpool Tramway)";"Cleveleys";"";"2016-02-09 15:27:14";"2016-02-09 15:27:14";"West Drive (Blackpool Tramway)";5388035;-303898;"tram";;"lanjtpja";"";"";"Cleveleys";"";"act"
111492;"9400ZZBPWST2";"West Drive (Blackpool Tramway)";"Cleveleys";"";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"West Drive (Blackpool Tramway)";5388034;-303907;"tram";;"lanjtpad";"";"";"Cleveleys";"";"act"
111463;"9400ZZBPWTL1";"Waterloo Road (Blackpool Tramway)";"Bloomfield";"Blackpool";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Waterloo Road (Blackpool Tramway)";5379904;-305584;"tram";;"blpamgmp";"";"";"Bloomfield";"Blackpool";"act"
111473;"9400ZZBPWTL2";"Waterloo Road (Blackpool Tramway)";"Bloomfield";"Blackpool";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Waterloo Road (Blackpool Tramway)";5379904;-305593;"tram";;"blpamjgj";"";"";"Bloomfield";"Blackpool";"act"
111456;"9400ZZBPWTP1";"Wilton Parade (Blackpool Tramway)";"Claremont";"Blackpool";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Wilton Parade (Blackpool Tramway)";5382778;-305560;"tram";;"blpamgdj";"";"";"Claremont";"Blackpool";"act"
111480;"9400ZZBPWTP2";"Wilton Parade (Blackpool Tramway)";"Claremont";"Blackpool";"2016-02-09 15:27:15";"2016-02-09 15:27:15";"Wilton Parade (Blackpool Tramway)";5382778;-305568;"tram";;"blpamjad";"";"";"Claremont";"Blackpool";"act"
136587;"9400ZZCABCH";"Brechin (Caledonian Railway)";"Brechin";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Brechin (Caledonian Railway)";5673144;-265214;"tram";;"";"";"";"Brechin";"";"act"
136586;"9400ZZCABOD";"Bridge of Dun (Caledonian Railway)";"Bridge of Dun";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Bridge of Dun (Caledonian Railway)";5671922;-255009;"tram";;"";"";"";"Bridge of Dun";"";"act"
64294;"9400ZZCRADD1";"Addiscombe Tram Stop";"Addiscombe";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Addiscombe Tram Stop";5137994;-7327;"tram";299665006;"";"";"";"Addiscombe";"Croydon";"act"
64316;"9400ZZCRADV1";"Addington Village Tram Stop";"Addington (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Addington Village Tram Stop";5135627;-3288;"tram";82626213;"";"20033";"";"Addington";"";"act"
64302;"9400ZZCRAMP1";"Ampere Way Tram Stop";"Broad Green (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Ampere Way Tram Stop";5138236;-12369;"tram";25279260;"";"";"";"Broad Green";"Croydon";"act"
64291;"9400ZZCRARA1";"Arena Tram Stop";"Woodside (Croydon)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Arena Tram Stop";5139161;-5825;"tram";299664774;"";"";"";"Woodside";"";"act"
64310;"9400ZZCRAVE1";"Avenue Road Tram Stop";"Penge";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Avenue Road Tram Stop";5140680;-4952;"tram";298024001;"";"20043";"";"Penge & Sydenham";"";"act"
